#EXPORTTYPE:  	DATA COMPARE                 	DATA COMPARE                 	DATA COMPARE                
#FILE:        	Sample1.ngb-dm2                    	Sample2.ngb-dm2                    	Sample3.ngb-dm2                  
#FORMAT:      	NETZSCH5                     	NETZSCH5                     	NETZSCH5                    
#FTYPE:       	ANSI                         	ANSI                         	ANSI                        
#IDENTITY:    	3	2	1
#DECIMAL:     	POINT                        	POINT                        	POINT                       
#SEPARATOR:   	TAB                          	TAB                          	TAB                         
#MTYPE:       	DMA                          	DMA                          	DMA                         
#INSTRUMENT:  	NETZSCH DMA 242              	NETZSCH DMA 242              	NETZSCH DMA 242             
#PROJECT:     	Amtrol                       	Amtrol                       	Amtrol                      
#DATE/TIME:   	5/29/2024 12:46:57 PM (UTC+1)	5/29/2024 11:00:19 AM (UTC+1)	5/29/2024 9:25:24 AM (UTC+1)
#LABORATORY:  	Piep                         	Piep                         	Piep                        
#OPERATOR:    	LG                           	LG                           	LG                          
#REMARK:      	                             	                             	                            
#SAMPLEHOLDER:	SingleCantilever16           	SingleCantilever16           	SingleCantilever16          
#SAMPLE:      	Resin                        	Resin                        	Resin                       
#SAMPLEDIM/MM:	16.000x10.660x3.660          	16.000x10.560x3.640          	16.000x10.720x3.700         
#MATERIAL:    	                             	                             	                            
#CORR. CODE:  	0	0	0
#RANGE:       	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  
#SEGMENT:     	S1/2                         	S1/2                         	S1/2                        
#SEG. 1:      	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  
			
##Temp./°C	"E""(1.000 Hz)/MPa"	"E""(1.000 Hz)/MPa"	"E""(1.000 Hz)/MPa"
158.59108	39.18901	84.7266	49.01839
159.59108	28.97903	101.26666	55.37333
160.59108	20.76932	118.25114	59.47813
161.59108	16.3821	125.61849	63.55759
162.59108	13.83111	134.05222	68.58345
163.59108	10.49403	153.25365	74.33213
164.59108	7.75174	158.50825	84.03826
165.59108	6.4889	156.13526	94.81138
166.59108	4.95244	153.2529	100.10957
167.59108	4.20273	135.71332	104.76759
168.59108	3.07348	107.7557	120.28606
169.59108	2.56535	95.07377	124.08977
170.59108	2.04642	82.64169	121.42296
171.59108	1.58495	61.6136	114.31424
172.59108	1.32986	40.36604	105.17532
173.59108	1.10152	36.47351	88.76922
174.59108	0.83864	29.99884	72.85319
175.59108	0.6805	18.67477	43.43257
176.59108	0.63482	15.22898	31.65595
177.59108	0.43927	11.07813	24.32973
178.59108	0.43959	9.63892	16.63921
179.59108	0.33524	6.94072	11.09662
180.59108	0.30278	6.04053	8.25565
181.59108	0.31399	5.37404	6.92607
182.59108	0.23895	3.98231	5.7772
183.59108	0.23972	2.9347	3.65595
184.59108	0.23739	2.6258	2.25925
185.59108	0.17651	2.38795	1.87262
186.59108	0.17425	1.57105	1.54976
187.59108	0.1722	1.36739	1.07224
188.59108	0.15931	1.13671	0.83309
189.59108	0.14427	0.79105	0.70268
190.59108	0.10957	0.70418	0.51093
191.59108	7.50E-02	0.55959	0.3844
192.59108	0.17415	0.57372	0.35526
193.59108	0.11157	0.43145	0.2728
194.59108	0.10379	0.37779	0.17404
195.59108	0.10614	0.31409	0.2485
196.59108	0.11849	0.24455	0.18657
197.59108	0.11761	0.24014	0.17581
198.59108	0.10939	0.24835	0.1737
199.59108	4.48E-02	0.21217	0.14003
200.59108	0.11607	0.16948	0.13123
201.59108	0.10917	0.17505	0.13129
202.59108	0.10811	0.17598	0.11192
203.59108	4.96E-02	0.18636	0.14239
204.59108	3.43E-02	0.11829	0.11359
205.59108	0.11265	0.12307	0.11329
206.59108	0.10959	4.86E-02	0.11267
207.59108	-1.56E-02	9.51E-02	5.21E-02
208.59108	4.41E-02	0.12672	0.113
209.59108	0.11292	0.13884	0.1184
210.59108	4.33E-02	0.10152	0.11494
211.59108	4.50E-02	0.11082	0.11311
212.59108	7.21E-02	0.11044	6.08E-02
213.59108	0.1293	6.84E-02	4.42E-02
214.59108	2.28736	5.75E-02	-8.12E-03
215.59108	4.5726	6.73E-02	6.19E-02
216.59108	7.93485	0.11139	5.02E-02
217.59108	10.03739	9.53E-02	4.18E-02
218.59108	12.66023	0.11202	5.30E-02
219.59108	16.73213	8.67E-02	9.81E-02
220.59108	19.415	6.48E-02	4.48E-02
221.59108	23.87124	6.86E-02	0.11537
222.59108	28.60283	5.23E-02	6.95E-02
223.59108	35.94904	0.1	5.39E-02
224.59108	39.41056	8.38E-02	-1.74E-02
225.59108	42.44185	-4.62E-03	4.10E-02
226.59108	42.2632	4.53E-02	4.53E-02
227.59108	44.04768	0.10862	0.1095
228.59108	45.46303	0.1001	4.65E-02
229.59108	50.36267	-1.48E-02	4.34E-02
230.59108	57.74887	4.99E-02	1.72E-03
231.59108	62.20656	3.72E-02	4.92E-02
232.59108	65.52136	4.13E-02	4.40E-02
233.59108	63.17028	4.01E-02	-1.39E-02
234.59108	64.19143	4.24E-02	2.35E-02
235.59108	65.08788	4.27E-02	4.41E-02
236.59108	70.38109	4.17E-02	4.37E-02
237.59108	77.98576	4.10E-02	4.37E-02
238.59108	79.67353	4.17E-02	              
239.59108	76.15356	              	              
240.59108	73.87511	              	              
241.59108	74.93327	              	              
242.59108	80.46331	              	              
243.59108	95.67596	              	              
244.59108	89.58421	              	              
245.59108	94.42665	              	              
246.59108	93.41092	              	              
247.59108	93.7679	              	              
248.59108	93.33902	              	              
249.59108	116.98055	              	              
250.59108	126.6965	              	              
251.59108	114.24781	              	              
