#EXPORTTYPE:  	DATA COMPARE                 	DATA COMPARE                 	DATA COMPARE                
#FILE:        	3.ngb-dm2                    	5.ngb-dm2                    	10.ngb-dm2                  
#FORMAT:      	NETZSCH5                     	NETZSCH5                     	NETZSCH5                    
#FTYPE:       	ANSI                         	ANSI                         	ANSI                        
#IDENTITY:    	3                            	2                            	1                           
#DECIMAL:     	POINT                        	POINT                        	POINT                       
#SEPARATOR:   	TAB                          	TAB                          	TAB                         
#MTYPE:       	DMA                          	DMA                          	DMA                         
#INSTRUMENT:  	NETZSCH DMA 242              	NETZSCH DMA 242              	NETZSCH DMA 242             
#PROJECT:     	Amtrol                       	Amtrol                       	Amtrol                      
#DATE/TIME:   	5/29/2024 12:46:57 PM (UTC+1)	5/29/2024 11:00:19 AM (UTC+1)	5/29/2024 9:25:24 AM (UTC+1)
#LABORATORY:  	Piep                         	Piep                         	Piep                        
#OPERATOR:    	LG                           	LG                           	LG                          
#REMARK:      	                             	                             	                            
#SAMPLEHOLDER:	SingleCantilever16           	SingleCantilever16           	SingleCantilever16          
#SAMPLE:      	Resin                        	Resin                        	Resin                       
#SAMPLEDIM/MM:	16.000x10.660x3.660          	16.000x10.560x3.640          	16.000x10.720x3.700         
#MATERIAL:    	                             	                             	                            
#CORR. CODE:  	0                            	0                            	0                           
#RANGE:       	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  
#SEGMENT:     	S1/2                         	S1/2                         	S1/2                        
#SEG. 1:      	90.0°C/3.0(K/min)/260.0°C    	90.0°C/5.0(K/min)/260.0°C    	25.0°C/10.0(K/min)/400.0°C  

##Temp./°C	tan d(1.000 Hz)	tan d(1.000 Hz)	tan d(1.000 Hz)
121.59108	 1.917818e-002	 1.618966e-002	 1.773516e-002
122.59108	 1.995045e-002	 1.660824e-002	 1.766330e-002
123.59108	 2.049839e-002	 1.654230e-002	 1.791940e-002
124.59108	 2.104466e-002	 1.714967e-002	 1.825797e-002
125.59108	 2.097112e-002	 1.720570e-002	 1.822504e-002
126.59108	 2.237224e-002	 1.716046e-002	 1.877295e-002
127.59108	 2.290629e-002	 1.771462e-002	 1.884261e-002
128.59108	 2.410766e-002	 1.767236e-002	 1.875534e-002
129.59108	 2.494835e-002	 1.834781e-002	 1.872686e-002
130.59108	 2.679160e-002	 1.829739e-002	 1.932667e-002
131.59108	 2.787565e-002	 1.766658e-002	 1.933816e-002
132.59108	 2.949343e-002	 1.887164e-002	 1.933339e-002
133.59108	 3.131111e-002	 1.894300e-002	 2.000539e-002
134.59108	 3.360358e-002	 1.990835e-002	 2.032917e-002
135.59108	 3.753022e-002	 1.994198e-002	 2.031721e-002
136.59108	 4.019620e-002	 2.022033e-002	 2.066451e-002
137.59108	 4.553033e-002	 2.098945e-002	 2.121695e-002
138.59108	 5.139853e-002	 2.131731e-002	 2.157990e-002
139.59108	 5.865855e-002	 2.215455e-002	 2.135304e-002
140.59108	 6.904245e-002	 2.214373e-002	 2.168407e-002
141.59108	 8.021307e-002	 2.352813e-002	 2.201815e-002
142.59108	 9.077836e-002	 2.430791e-002	 2.261987e-002
143.59108	       0.11195	 2.531042e-002	 2.409512e-002
144.59108	       0.14701	 2.598694e-002	 2.442645e-002
145.59108	       0.16896	 2.852282e-002	 2.468181e-002
146.59108	       0.20572	 2.924102e-002	 2.574426e-002
147.59108	       0.27237	 3.027515e-002	 2.672442e-002
148.59108	       0.31623	 3.220276e-002	 2.745349e-002
149.59108	       0.39887	 3.455372e-002	 2.858973e-002
150.59108	       0.46954	 3.882332e-002	 2.938777e-002
151.59108	       0.56493	 4.141210e-002	 2.988653e-002
152.59108	       0.66782	 4.383458e-002	 3.125088e-002
153.59108	       0.76200	 5.218992e-002	 3.320009e-002
154.59108	       0.85862	 5.521481e-002	 3.486479e-002
155.59108	       0.96788	 6.657797e-002	 3.910298e-002
156.59108	       1.00361	 8.243487e-002	 4.242333e-002
157.59108	       1.02245	 9.063863e-002	 4.492131e-002
158.59108	       1.00496	       0.10185	 4.868694e-002
159.59108	       0.94250	       0.13244	 5.625333e-002
160.59108	       0.83896	       0.17088	 6.144459e-002
161.59108	       0.75215	       0.19172	 6.697290e-002
162.59108	       0.68883	       0.21994	 7.424218e-002
163.59108	       0.58729	       0.32299	 8.292094e-002
164.59108	       0.47989	       0.39512	 9.901812e-002
165.59108	       0.42178	       0.51923	       0.12035
166.59108	       0.34202	       0.55632	       0.13274
167.59108	       0.29942	       0.70429	       0.14423
168.59108	       0.22879	       0.86163	       0.21377
169.59108	       0.19468	       0.91902	       0.27736
170.59108	       0.15770	       0.96383	       0.34510
171.59108	       0.12421	       1.01396	       0.42205
172.59108	       0.10486	       0.98672	       0.49882
173.59108	 8.759690e-002	       0.96717	       0.62071
174.59108	 6.682347e-002	       0.92058	       0.72092
175.59108	 5.422282e-002	       0.77158	       0.82645
176.59108	 5.055819e-002	       0.69784	       0.80777
177.59108	 3.494280e-002	       0.58497	       0.76135
178.59108	 3.490008e-002	       0.53798	       0.66718
179.59108	 2.662486e-002	       0.43553	       0.54889
180.59108	 2.399873e-002	       0.39349	       0.45998
181.59108	 2.478233e-002	       0.36162	       0.41108
182.59108	 1.890003e-002	       0.28444	       0.36449
183.59108	 1.885972e-002	       0.21971	       0.25456
184.59108	 1.854321e-002	       0.19888	       0.16835
185.59108	 1.383586e-002	       0.18362	       0.14118
186.59108	 1.360075e-002	       0.12412	       0.11805
187.59108	 1.331937e-002	       0.10845	 8.301323e-002
188.59108	 1.235785e-002	 9.065660e-002	 6.506805e-002
189.59108	 1.123433e-002	 6.342500e-002	 5.480039e-002
190.59108	 8.521289e-003	 5.667733e-002	 3.980967e-002
191.59108	 5.830711e-003	 4.531129e-002	 3.012897e-002
192.59108	 1.341723e-002	 4.618205e-002	 2.777959e-002
193.59108	 8.608567e-003	 3.476726e-002	 2.117482e-002
194.59108	 7.979863e-003	 3.027965e-002	 1.351011e-002
195.59108	 8.106799e-003	 2.516617e-002	 1.914453e-002
196.59108	 9.099439e-003	 1.959453e-002	 1.438513e-002
197.59108	 9.043228e-003	 1.932344e-002	 1.344310e-002
198.59108	 8.326517e-003	 1.969281e-002	 1.328297e-002
199.59108	 3.410209e-003	 1.676927e-002	 1.065598e-002
200.59108	 8.959925e-003	 1.345904e-002	 9.984185e-003
201.59108	 8.460642e-003	 1.381626e-002	 9.939047e-003
202.59108	 8.374275e-003	 1.387615e-002	 8.419155e-003
203.59108	 3.931883e-003	 1.461224e-002	 1.070443e-002
204.59108	 2.690885e-003	 9.263343e-003	 8.498598e-003
205.59108	 8.728536e-003	 9.677376e-003	 8.464292e-003
206.59108	 8.560416e-003	 3.861054e-003	 8.445039e-003
207.59108	-1.097807e-003	 7.368016e-003	 3.936209e-003
208.59108	 3.482097e-003	 9.909163e-003	 8.411000e-003
209.59108	 8.827648e-003	 1.080843e-002	 8.660422e-003
210.59108	 3.363411e-003	 7.922689e-003	 8.535735e-003
211.59108	 3.520044e-003	 8.585567e-003	 8.472457e-003
212.59108	 5.707899e-003	 8.548995e-003	 4.597488e-003
213.59108	 1.027573e-002	 5.361109e-003	 3.312701e-003
214.59108	       0.18719	 4.505715e-003	-5.598296e-004
215.59108	       0.36409	 5.218147e-003	 4.675297e-003
216.59108	       0.56258	 8.599287e-003	 3.778044e-003
217.59108	       0.63447	 7.301790e-003	 3.205612e-003
218.59108	       0.73393	 8.702419e-003	 3.974469e-003
219.59108	       0.90390	 6.649119e-003	 7.392164e-003
220.59108	       1.01843	 5.021755e-003	 3.434103e-003
221.59108	       1.20456	 5.334147e-003	 8.805944e-003
222.59108	       1.43913	 4.162454e-003	 5.376876e-003
223.59108	       1.57359	 7.793222e-003	 4.207242e-003
224.59108	       1.54592	 6.491447e-003	-1.292303e-003
225.59108	       1.42879	-3.272216e-004	 3.205427e-003
226.59108	       1.32899	 3.609274e-003	 3.547109e-003
227.59108	       1.37045	 8.372613e-003	 8.467949e-003
228.59108	       1.39099	 7.832932e-003	 3.636084e-003
229.59108	       1.63079	-1.121732e-003	 3.413444e-003
230.59108	       1.77288	 3.898463e-003	 1.525047e-004
231.59108	       1.93721	 2.938606e-003	 3.886157e-003
232.59108	       1.96637	 3.274986e-003	 3.491313e-003
233.59108	       1.77211	 3.198826e-003	-1.049250e-003
234.59108	       1.64533	 3.370961e-003	 1.851739e-003
235.59108	       1.54062	 3.391869e-003	 3.523589e-003
236.59108	       1.59094	 3.331885e-003	 3.496190e-003
237.59108	       1.67928	 3.278897e-003	 3.496190e-003
238.59108	       1.83018	 3.331596e-003	              
239.59108	       1.89303	              	              
240.59108	       1.62037	              	              
241.59108	       1.48545	              	              
242.59108	       1.67197	              	              
243.59108	       1.82352	              	              
244.59108	       1.81377	              	              
245.59108	       1.87419	              	              
246.59108	       1.74334	              	              
247.59108	       1.79707	              	              
248.59108	       1.82650	              	              
249.59108	       1.95252	              	              
250.59108	       2.07068	              	              
251.59108	       1.78049	              	              

